bounty_id,requester,category,title,reward_eth,status,created_at,deadline
1001,0xa11ce00000000000000000000000000000000a11,smart-contract-audit,Uniswap v4 hook: reentrancy & callback sweep,2.5,settled,2026-05-18,2026-05-25
1002,0xb0b0000000000000000000000000000000000b0b,defi-strategy,ETH/USDC v4 LP rebalancer (blind backtest),3.0,settled,2026-05-19,2026-05-27
1003,0xca01a0000000000000000000000000000000ca01,data-labeling,Label 5k DeFi tweets by sentiment (hidden holdout),0.8,settled,2026-05-20,2026-05-26
1004,0xd00d000000000000000000000000000000000d00,zkml-proof,Groth16 proof of MNIST inference,4.0,settled,2026-05-21,2026-05-30
1005,0xe5c0000000000000000000000000000000000e5c,gas-optimization,Cut ERC-1155 batch-mint gas by 20%,1.2,settled,2026-05-22,2026-05-29
1006,0xda0f00000000000000000000000000000000da0f,smart-contract-audit,ERC-4626 vault share-rounding exploit,2.0,settled,2026-05-26,2026-06-02
1007,0xf00d000000000000000000000000000000000f00,defi-strategy,Perp funding-rate arbitrage bot,2.2,settled,2026-05-28,2026-06-04
1008,0xc0110dedbeef0000000000000000000000000001,smart-contract-audit,Internal hook audit (round A),0.5,settled,2026-05-29,2026-06-03
1009,0xc0110dedbeef0000000000000000000000000001,smart-contract-audit,Internal hook audit (round B),0.5,settled,2026-06-02,2026-06-07
1010,0xca01a0000000000000000000000000000000ca01,ml-eval,RAG eval harness for agent answers,1.5,settled,2026-06-01,2026-06-08
1011,0xa11ce00000000000000000000000000000000a11,smart-contract-audit,Morpho callback invariant audit,3.5,open,2026-06-10,2026-06-18
1012,0xb0b0000000000000000000000000000000000b0b,defi-strategy,Stablecoin depeg hedging bot,2.8,open,2026-06-11,2026-06-20
1013,0xd00d000000000000000000000000000000000d00,zkml-proof,zk proof of LLM next-token logits,5.0,open,2026-06-12,2026-06-22
