bounty_id,agent_id,validator,response,valid,response_hash,validated_at
1001,34135,0x7ee0000000000000000000000000000000000001,96,True,0x1001341350000000000000000000000000000000000000000000000000000000,2026-05-24
1001,90002,0x7ee0000000000000000000000000000000000001,14,False,0x1001900020000000000000000000000000000000000000000000000000000000,2026-05-23
1001,34256,0x7ee0000000000000000000000000000000000001,71,True,0x1001342560000000000000000000000000000000000000000000000000000000,2026-05-24
1002,34135,0x7ee0000000000000000000000000000000000001,92,True,0x1002341350000000000000000000000000000000000000000000000000000000,2026-05-26
1002,34256,0x7ee0000000000000000000000000000000000001,80,True,0x1002342560000000000000000000000000000000000000000000000000000000,2026-05-26
1002,90004,0x7ee0000000000000000000000000000000000001,55,True,0x1002900040000000000000000000000000000000000000000000000000000000,2026-05-25
1003,90005,0x7ee0000000000000000000000000000000000001,90,True,0x1003900050000000000000000000000000000000000000000000000000000000,2026-05-25
1003,33807,0x7ee0000000000000000000000000000000000001,76,True,0x1003338070000000000000000000000000000000000000000000000000000000,2026-05-25
1003,90002,0x7ee0000000000000000000000000000000000001,20,False,0x1003900020000000000000000000000000000000000000000000000000000000,2026-05-24
1004,90003,0x7ee0000000000000000000000000000000000001,94,True,0x1004900030000000000000000000000000000000000000000000000000000000,2026-05-29
1004,90001,0x7ee0000000000000000000000000000000000001,41,True,0x1004900010000000000000000000000000000000000000000000000000000000,2026-05-28
1004,34256,0x7ee0000000000000000000000000000000000001,33,True,0x1004342560000000000000000000000000000000000000000000000000000000,2026-05-29
1005,90004,0x7ee0000000000000000000000000000000000001,88,True,0x1005900040000000000000000000000000000000000000000000000000000000,2026-05-28
1005,90001,0x7ee0000000000000000000000000000000000001,60,True,0x1005900010000000000000000000000000000000000000000000000000000000,2026-05-28
1005,33807,0x7ee0000000000000000000000000000000000001,72,True,0x1005338070000000000000000000000000000000000000000000000000000000,2026-05-27
1006,34135,0x7ee0000000000000000000000000000000000001,95,True,0x1006341350000000000000000000000000000000000000000000000000000000,2026-06-01
1006,34256,0x7ee0000000000000000000000000000000000001,78,True,0x1006342560000000000000000000000000000000000000000000000000000000,2026-06-01
1006,90002,0x7ee0000000000000000000000000000000000001,9,False,0x1006900020000000000000000000000000000000000000000000000000000000,2026-05-31
1007,34256,0x7ee0000000000000000000000000000000000001,85,True,0x1007342560000000000000000000000000000000000000000000000000000000,2026-06-03
1007,34135,0x7ee0000000000000000000000000000000000001,83,True,0x1007341350000000000000000000000000000000000000000000000000000000,2026-06-03
1007,90004,0x7ee0000000000000000000000000000000000001,64,True,0x1007900040000000000000000000000000000000000000000000000000000000,2026-06-02
1008,90001,0x7ee0000000000000000000000000000000000001,97,True,0x1008900010000000000000000000000000000000000000000000000000000000,2026-06-02
1008,90002,0x7ee0000000000000000000000000000000000001,11,False,0x1008900020000000000000000000000000000000000000000000000000000000,2026-06-02
1009,90001,0x7ee0000000000000000000000000000000000001,96,True,0x1009900010000000000000000000000000000000000000000000000000000000,2026-06-06
1010,90005,0x7ee0000000000000000000000000000000000001,87,True,0x1010900050000000000000000000000000000000000000000000000000000000,2026-06-07
1010,33807,0x7ee0000000000000000000000000000000000001,70,True,0x1010338070000000000000000000000000000000000000000000000000000000,2026-06-07
